taxon_id,scientific_name,observation_count
47435,Lotus corniculatus,709
56166,Persicaria maculosa,709
77255,Geranium lucidum,709
85421,Rhizomnium glabrescens,708
78623,Platanthera dilatata,706
498114,Primula jeffreyi,705
51810,Laburnum anagyroides,702
124422,Rhytidiadelphus loreus,701
53168,Oxalis corniculata,700
53089,Pseudognaphalium stramineum,699
127529,Prunus lusitanica,697
123134,Dicranum scoparium,695
75302,Agoseris aurantiaca,693
53326,Vinca major,692
56996,Sisymbrium altissimum,691
61168,Arum italicum,691
50717,Epipactis helleborine,689
49658,Liquidambar styraciflua,687
75505,Arctostaphylos columbiana,685
82666,Viburnum tinus,684
54663,Hemitomes congestum,682
50628,Erysimum capitatum,680
52846,Anthriscus caucalis,678
57057,Medicago sativa,678
59901,Melissa officinalis,677
75527,Arctostaphylos nevadensis,677
56154,Saponaria officinalis,670
62239,Pyrola picta,669
55748,Veronica arvensis,668
79033,Sedum stenopetalum,667
537967,Bellardia viscosa,666
1490931,Doellingeria ledophylla,666
123819,Homalothecium fulgescens,662
75242,Abies procera,655
77264,Geranium viscosissimum,654
78524,Phacelia sericea,652
53456,Symphoricarpos mollis,648
78728,Potentilla gracilis,646
55977,Malva moschata,645
57506,Prosartes smithii,645
133395,Lavandula angustifolia,645
79408,Trifolium arvense,644
636795,Salvia rosmarinus,642
67423,Ulva lactuca,641
77025,Eriogonum pyrolifolium,640
48984,Centaurea montana,638
68543,Plantago maritima,637
57126,Brodiaea coronaria,636
59068,Scirpus microcarpus,634
56236,Centaurium erythraea,632
53771,Cotoneaster horizontalis,630
452473,Eremogone capillaris,630
117385,Athyrium americanum,629
58382,Poa bulbosa,628
133356,Cercidiphyllum japonicum,628
78582,Picea engelmannii,626
78967,Salvia dorrii,626
78419,Penstemon rupicola,625
54491,Corylus avellana,624
128767,Viburnum davidii,624
125790,Spiraea japonica,623
77843,Luina hypoleuca,621
50614,Lupinus bicolor,619
75991,Campanula scouleri,618
78453,Persicaria hydropiperoides,617
78230,Nothocalais troximoides,616
77480,Hypericum androsaemum,615
63898,Ranunculus uncinatus,612
143420,Viola trinervata,612
53075,Geranium dissectum,610
57278,Ailanthus altissima,610
82740,Lathyrus sylvestris,608
119092,Picea pungens,607
79423,Trifolium macrocephalum,606
79387,Trautvetteria caroliniensis,603
53294,Sonchus oleraceus,602
59570,Arctium minus,600
771843,Erythranthe alsinoides,600
143421,Castilleja thompsonii,599
739040,Aphyllon purpureum,598
1122172,Kindbergia praelonga,598
58727,Berberis thunbergii,597
128874,Saxifraga bronchialis,597
62580,Allium crenulatum,593
524900,Argentina pacifica,593
68213,Boykinia occidentalis,589
75430,Anchusa officinalis,588
127010,Nandina domestica,587
78368,Pedicularis contorta,586
53322,Vicia gigantea,584
116364,Allium cernuum,584
58996,Clematis ligusticifolia,581
78678,Polygonum aviculare,579
67810,Kalmia microphylla,574
56188,Vicia hirsuta,571
77228,Gaultheria ovatifolia,571
79380,Toxicoscordion paniculatum,571
79325,Teesdalia nudicaulis,569
881534,Anemonastrum deltoideum,568
64445,Caltha leptosepala,567
83056,Camellia japonica,567
76912,Erigeron compositus,565
78885,Rosa pisocarpa,562
133104,Berberis repens,561
57056,Medicago lupulina,559
62682,Chaenactis douglasii,559
53448,Ribes divaricatum,558
61048,Clarkia amoena,554
64350,Ginkgo biloba,554
77887,Lupinus rivularis,552
50743,Spiranthes romanzoffiana,550
56406,Marchantia polymorpha,548
75475,Anthoxanthum odoratum,548
79159,Sorbus scopulina,548
59239,Eriogonum sphaerocephalum,546
161582,Dahlia pinnata,545
76237,Chamaecyparis lawsoniana,542
180413,Rhododendron groenlandicum,541
57983,Helianthus annuus,538
170203,Viburnum plicatum,538
77778,Linaria purpurea,536
711103,Pilosella aurantiaca,535
52996,Collomia heterophylla,533
60201,Trifolium subterraneum,532
164313,Juniperus maritima,531
55703,Lunularia cruciata,530
474721,Erythranthe caespitosa,527
52658,Drosera rotundifolia,526
129061,Rubus rolfei,525
119793,Pyrus calleryana,523
